"","Scientific_name","Lastest_revision","Code","Class","Order","Family.x","Genus.x","Scientific_name_2024","Common_name","Diet","Strata","IUCN","Note","MSW3_ID","Genus.y","Species","Family.y","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","Diet.Source","Diet.Certainty","ForStrat.Value","ForStrat.Certainty","ForStrat.Comment","Activity.Nocturnal","Activity.Crepuscular","Activity.Diurnal","Activity.Source","Activity.Certainty","BodyMass.Value","BodyMass.Source","BodyMass.SpecLevel","Full.Reference","scientificNameStd"
"36","Mazama americana","30/04/23","MAZAME","Mammalia","Artiodactyla","Cervidae","Mazama","Mazama americana","Red broket deer","Herbivore","Terrestrial","DD","",5289,"Mazama","americana","Cervidae",0,0,0,0,0,0,0,0,20,80,"Ref_1","ABC","G","A","",1,1,1,"Ref_1","ABC",22799.75,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Mazama americana"
"37","Mazama gouazoubira","30/04/23","MAZNEM","Mammalia","Artiodactyla","Cervidae","Mazama","Mazama nemorivaga","Amazonian brown broket deer","Herbivore","Terrestrial","LC","",5293,"Mazama","gouazoubira","Cervidae",0,0,0,0,0,0,30,0,20,50,"Ref_1","ABC","G","A","",1,1,1,"Ref_1","ABC",16633.17,"Ref_58",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Mazama gouazoubira"
"38","Mesomys hispidus","30/04/23","MESHIS","Mammalia","Rodentia","Echimyidae","Mesomys","Mesomys hispidus","Ferreira's spiny tree-rat","Herbivore","Arboreal","LC","",2961,"Mesomys","hispidus","Echimyidae",0,0,0,0,0,0,30,0,20,50,"Ref_3","D2","Ar","A","",1,0,0,"Ref_1","ABC",175,"Ref_117",1,"Family Average","Mesomys hispidus"
"39","Micoureus regina","30/04/23","MARREG","Mammalia","Didelphimorpha","Didelphidae","Marmosa","Marmosa regina","Short-furred woolly mouse opossum","Omnivore","Mixed","LC","",55,"Micoureus","regina","Didelphidae",90,0,0,0,0,0,10,0,0,0,"Ref_1","ABC","S","A","",1,0,0,"Ref_1","ABC",118.6,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Micoureus regina"
"40","Microsciurus flaviventer","30/04/23","MICFLA","Mammalia","Rodentia","Sciuridae","Microsciurus","Microsciurus flaviventer","Amazon dwarf squirrel","Herbivore","Mixed","LC","",854,"Microsciurus","flaviventer","Sciuridae",0,0,0,0,0,0,50,0,50,0,"Ref_1","ABC","Ar","A","",0,0,1,"Ref_1","ABC",92,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Microsciurus flaviventer"
"41","Monodelphis adusta","30/04/23","MONADU","Mammalia","Didelphimorpha","Didelphidae","Monodelphis","Monodelphis adusta","Sepia short-tailed opossum","Omnivore","Mixed","LC","",75,"Monodelphis","adusta","Didelphidae",20,20,0,0,0,20,20,0,20,0,"Ref_1","ABC","G","A","",1,0,0,"Ref_1","ABC",35,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Monodelphis adusta"
"42","Myoprocta pratti","30/04/23","MYOPRA","Mammalia","Rodentia","Dasyproctidae","Myoprocta","Myoprocta pratti","Green acouchi","Herbivore","Terrestrial","LC","",3070,"Myoprocta","pratti","Dasyproctidae",20,0,0,0,0,0,40,0,0,40,"Ref_2","D1","G","A","",0,0,1,"Ref_1","ABC",966.73,"Ref_58",1,"Genus Average","Myoprocta pratti"
"43","Myrmecophaga tridactyla","30/04/23","MYRTRI","Mammalia","Pilosa","Myrmecophagidae","Myrmecophaga","Myrmecophaga tridactyla","Giant ant eater","Omnivore","Terrestrial","VU","https://www.iucnredlist.org/species/14224/47441961",444,"Myrmecophaga","tridactyla","Myrmecophagidae",100,0,0,0,0,0,0,0,0,0,"Ref_1","ABC","G","A","",1,1,1,"Ref_1","ABC",22333.15,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Myrmecophaga tridactyla"
"44","Nasua nasua","30/04/23","NASNAS","Mammalia","Carnivora","Procyonidae","Nasua","Nasua nasua","South American coati","Omnivore","Mixed","LC","",5070,"Nasua","nasua","Procyonidae",10,20,0,0,0,0,70,0,0,0,"Ref_1","ABC","S","A","",0,0,1,"Ref_1","ABC",3793.85,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Nasua nasua"
"45","Neacomys spinosus","30/04/23","NEASPI","Mammalia","Rodentia","Cricetidae","Neacomys","Neacomys spinosus","Common neacomys","Herbivore","UNK","LC","",1788,"Neacomys","spinosus","Cricetidae",20,0,0,0,0,0,20,0,20,40,"Ref_1","ABC","G","A","",1,0,0,"Ref_1","ABC",19,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Neacomys spinosus"
"46","Nectomys apicalis","30/04/23","NECAPI","Mammalia","Rodentia","Cricetidae","Nectomys","Nectomys apicalis","Western Amazonian nectomys","Herbivore","UNK","LC","",1801,"Nectomys","apicalis","Cricetidae",30,0,20,20,0,0,0,0,0,30,"Ref_1","ABC","G","A","",1,0,0,"Ref_1","ABC",217.85,"Ref_2, Ref_3",0,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Nectomys apicalis"
"47","Oecomys bicolor","30/04/23","OECBIC","Mammalia","Rodentia","Cricetidae","Oecomys","Oecomys bicolor","White-bellied arboreal mouse","Herbivore","Arboreal","LC","Probably one of our arboreal mouse genus?",1827,"Oecomys","bicolor","Cricetidae",0,0,0,0,0,0,50,0,50,0,"Ref_34","ABC","G","A","",1,0,0,"Ref_1","ABC",34,"Ref_117",1,"Emmons L.H. & F. Feer. 1997. Neotropical Rain Forest Mammals, a Field Guide. 2da ed. The 
University of Chicago Press. 281 pp","Oecomys bicolor"
"48","Oecomys concolor","30/04/23","OECCON","Mammalia","Rodentia","Cricetidae","Oecomys","Oecomys concolor","Unicolored arboreal mouse","Herbivore","Arboreal","LC","Probably one of our arboreal mouse genus?",1829,"Oecomys","concolor","Cricetidae",0,0,0,0,0,0,50,0,50,0,"Ref_1","ABC","G","A","",1,0,0,"Ref_2","D1",61.55,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Oecomys concolor"
"49","Oecomys superans","30/04/23","OECSUP","Mammalia","Rodentia","Cricetidae","Oecomys","Oecomys superans","Large oecomys","Herbivore","Arboreal","LC","",1831,"Oecomys","superans","Cricetidae",0,0,0,0,0,0,50,0,50,0,"Ref_1","ABC","G","A","",1,0,0,"Ref_2","D1",73.4,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Oecomys superans"
"50","Oligoryzomys fulvescens","30/04/23","OLIFUL","Mammalia","Rodentia","Cricetidae","Oligoryzomys","Oligoryzomys fulvescens","Northern pygmy rice rat","Herbivore","Terrestrial","LC","",1834,"Oligoryzomys","fulvescens","Cricetidae",30,0,0,0,0,0,30,0,40,0,"Ref_1","ABC","G","A","",1,0,0,"Ref_1","ABC",25,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Oligoryzomys fulvescens"
"51","Oryzomys macconnelli","30/04/23","EURMAC","Mammalia","Rodentia","Cricetidae","Euryoryzomys","Euryoryzomys macconnelli","MacConnell's rice rat","Herbivore","Terrestrial","LC","",1888,"Oryzomys","macconnelli","Cricetidae",20,0,0,0,0,0,20,0,20,40,"Ref_1","ABC","G","A","",1,1,1,"Ref_1","ABC",58,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Euryoryzomys macconnelli"
"52","Oryzomys yunganus","30/04/23","HYLYUN","Mammalia","Rodentia","Cricetidae","Hylaeamys","Hylaeamys yunganus","Yungas rice rat","Herbivore","Terrestrial","LC","Might not be in TF because it likes marshy habitat nesting in rice and sugarcane marsh mostly",1856,"Oryzomys","yunganus","Cricetidae",20,0,0,0,0,0,20,0,20,40,"Ref_1","ABC","G","A","",1,1,1,"Ref_1","ABC",60.5,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Hylaeamys yunganus"
"53","Panthera onca","30/04/23","PANONC","Mammalia","Carnivora","Felidae","Panthera","Panthera onca","Jaguar","Carnivore","Mixed","NT","",4828,"Panthera","onca","Felidae",0,80,10,10,0,0,0,0,0,0,"Ref_1","ABC","G","A","",1,1,1,"Ref_1","ABC",1e+05,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Panthera onca"
"54","Pecari tajacu","30/04/23","PECTAJ","Mammalia","Artiodactyla","Tayassuidae","Pecari","Pecari tajacu","Collared peccary","Herbivore","Terrestrial","LC","",5115,"Pecari","tajacu","Tayassuidae",10,0,20,0,0,0,10,0,0,60,"Ref_1","ABC","G","A","",1,1,0,"Ref_1","ABC",21266.69,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Pecari tajacu"
"55","Philander andersoni","30/04/23","PHIAND","Mammalia","Didelphimorpha","Didelphidae","Philander","Philander andersoni","Anderson's four-eyed opossum","Omnivore","Mixed","LC","",78,"Philander","andersoni","Didelphidae",30,30,20,0,10,0,10,0,0,0,"Ref_1","ABC","S","A","",1,1,1,"Ref_1","ABC",325,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Philander andersoni"
"56","Pithecia monachus","30/04/23","PITNAP","Mammalia","Primata","Pitheciidae","Pithecia","Pithecia napensis","Napo saki monkey","Herbivore","Arboreal","LC","Marsh, L.K., de la Torre, S. & Moscoso, P. 2018. Pithecia napensis. The IUCN Red List of Threatened Species 2018: e.T39955A70609585. https://dx.doi.org/10.2305/IUCN.UK.2018-2.RLTS.T39955A70609585.en. Accessed on 19 May 2023.",684,"Pithecia","monachus","Pitheciidae",0,30,0,0,0,0,30,10,0,30,"Ref_1","ABC","Ar","A","",0,0,1,"Ref_1","ABC",1537.52,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Cercopithecus mona"
"57","Potos flavus","30/04/23","POTFLA","Mammalia","Carnivora","Procyonidae","Potos","Potos flavus","Kinkajou","Omnivore","Mixed","LC","",5073,"Potos","flavus","Procyonidae",10,0,0,0,10,0,80,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",3000,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Potos flavus"
"58","Priodontes maximus","30/04/23","PRIMAX","Mammalia","Cingulata","Chlamyphoridae","Priodontes","Priodontes maximus","Giant armadillo","Herbivore","Terrestrial","VU","",434,"Priodontes","maximus","Dasypodidae",90,0,0,0,10,0,0,0,0,0,"Ref_1","ABC","G","A","",1,0,0,"Ref_1","ABC",45359.68,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Priodontes maximus"
"59","Procyon cancrivorus","30/04/23","PROCAN","Mammalia","Carnivora","Procyonidae","Procyon","Procyon cancrivorus","Crab-eating racoon","Herbivore","Terrestrial","LC","",5074,"Procyon","cancrivorus","Procyonidae",50,0,10,20,0,0,10,0,10,0,"Ref_1","ABC","G","A","",1,0,0,"Ref_1","ABC",6949.92,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Procyon cancrivorus"
"60","Proechimys brevicauda","30/04/23","PROBRE","Mammalia","Rodentia","Echimyidae","Proechimys","Proechimys brevicauda","The short-tailed spiny-rat ","Herbivore","UNK","LC","",2988,"Proechimys","brevicauda","Echimyidae",0,0,0,0,0,0,20,0,10,70,"Ref_1","ABC","G","A","",1,0,0,"Ref_1","ABC",285,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Proechimys brevicauda"
"61","Proechimys quadruplicatus","30/04/23","PROQUA","Mammalia","Rodentia","Echimyidae","Proechimys","Proechimys quadruplicatus","Napo spiny rat","Herbivore","UNK","LC","",2976,"Proechimys","quadruplicatus","Echimyidae",0,0,0,0,0,0,20,0,10,70,"Ref_1","ABC","G","A","",1,0,0,"Ref_1","ABC",285,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Proechimys quadruplicatus"
"62","Proechimys simonsi","30/04/23","PROSIM","Mammalia","Rodentia","Echimyidae","Proechimys","Proechimys simonsi","Simons's spiny rat","Herbivore","UNK","LC","",2970,"Proechimys","simonsi","Echimyidae",0,0,0,0,0,0,20,0,10,70,"Ref_1","ABC","G","A","",1,0,0,"Ref_1","ABC",285,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Proechimys simonsi"
"63","Puma concolor","30/04/23","PUMCON","Mammalia","Carnivora","Felidae","Puma","Puma concolor","Puma","Carnivore","Mixed","LC","",4824,"Puma","concolor","Felidae",0,100,0,0,0,0,0,0,0,0,"Ref_1","ABC","G","A","",1,1,1,"Ref_1","ABC",51600.04,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Puma concolor"
"64","Puma yagouaroundi","30/04/23","HERYAG","Mammalia","Carnivora","Felidae","Herpailurus","Herpailurus yagouaroundi","Jaguarundi","Carnivore","Mixed","LC","previously in the genus Puma",4823,"Puma","yagouaroundi","Felidae",10,80,0,0,0,0,10,0,0,0,"Ref_110","ABC","G","A","",0,1,1,"Ref_1","ABC",6875,"Ref_58",1,"Wilson & Mittermier. Handbook of the mammals of the world. Lynx edition Vol 1. 2009","Puma yagouaroundi"
"65","Rhipidomys leucodactylus","30/04/23","RHILEU","Mammalia","Rodentia","Cricetidae","Rhipidomys","Rhipidomys leucodactylus","White-footed climbing mouse","Herbivore","Mixed","LC","Probably one of our arboreal mouse genus?",1938,"Rhipidomys","leucodactylus","Cricetidae",20,0,0,0,0,0,30,0,30,20,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",80,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Rhipidomys leucodactylus"
"66","Saguinus tripartitus","30/04/23","LEOTRI","Mammalia","Primata","Callitrichidae","Leontocebus","Leontocebus tripartitus","Golden-mantled saddle-back tamarin","Herbivore","Arboreal","NT","Galán‐Acedo, C., Arroyo‐Rodríguez, V., Andresen, E., & Arasa‐Gisbert, R. (2019). Ecological traits of the world’s primates. Scientific Data, 6(1). https://doi.org/10.1038/s41597-019-0059-9",565,"Saguinus","tripartitus","Cebidae",40,0,0,0,0,0,30,30,0,0,"Ref_1","ABC","Ar","A","",0,0,1,"Ref_1","ABC",393.5,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Leontocebus tripartitus"
"67","Saimiri sciureus","30/04/23","SAICAS","Mammalia","Primata","Cebidae","Saimiri","Saimiri sciureus","Humboldt's squirrel monkey","Herbivore","Arboreal","LC","",610,"Saimiri","sciureus","Cebidae",20,0,0,0,20,0,20,0,20,20,"Ref_1","ABC","Ar","A","",0,0,1,"Ref_1","ABC",743.24,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Saimiri sciureus"
"68","Sciurus igniventris","30/04/23","SCUIGN","Mammalia","Rodentia","Sciuridae","Sciurus","Sciurus igniventris","Northern Amazon red squirrel","Herbivore","Mixed","LC","Previously Hadrosciurus igniventris",883,"Sciurus","igniventris","Sciuridae",0,0,0,0,0,0,20,0,50,30,"Ref_1","ABC","Ar","A","",0,0,1,"Ref_1","ABC",700,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Sciurus igniventris"
"69","Sciurus spadiceus","30/04/23","SCISPA","Mammalia","Rodentia","Sciuridae","Sciurus","Sciurus spadiceus","Southern Amazon red squirrel","Herbivore","Mixed","LC","What is the difference between squirrel spp.? Do we even have them in the cameras yet?",882,"Sciurus","spadiceus","Sciuridae",0,0,0,0,0,0,20,0,50,30,"Ref_1","ABC","Ar","A","",0,0,1,"Ref_1","ABC",403.33,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Sciurus spadiceus"
"70","Sphiggurus ichillus","30/04/23","COEICH","Mammalia","Rodentia","Erethizontidae","Coendou","Coendou ichillus","Streaked dwarf porcupine","Herbivore","Mixed","DD","IUCN notes it is very uncommon, old name from Wiki",3031,"Sphiggurus","ichillus","Erethizontidae",0,0,0,0,0,0,30,0,0,70,"Ref_2","D1","Ar","A","",1,0,0,"Ref_2","D1",1242.24,"Ref_2, Ref_3",0,"Genus Average","Sphiggurus ichillus"
"71","Tamandua tetradactyla","30/04/23","TAMTET","Mammalia","Pilosa","Myrmecophagidae","Tamandua","Tamandua tetradactyla","Tamandua","Omnivore","Mixed","LC","",446,"Tamandua","tetradactyla","Myrmecophagidae",100,0,0,0,0,0,0,0,0,0,"Ref_1","ABC","S","A","",1,1,1,"Ref_1","ABC",5515.06,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Tamandua tetradactyla"
"72","Tapirus terrestris","30/04/23","TAPTER","Mammalia","Perissodactyla","Tapiridae","Tapirus","Tapirus terrestris","Lowland tapir","Herbivore","Terrestrial","VU","",5089,"Tapirus","terrestris","Tapiridae",0,0,0,0,0,0,0,0,0,100,"Ref_1","ABC","G","A","",1,0,0,"Ref_1","ABC",207500.91,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Tapirus terrestris"
"73","Tayassu pecari","30/04/23","TAYPEC","Mammalia","Artiodactyla","Tayassuidae","Tayassu","Tayassu pecari","White lipped peccary","Herbivore","Terrestrial","VU","",5116,"Tayassu","pecari","Tayassuidae",10,0,0,0,10,0,30,0,30,20,"Ref_1","ABC","G","A","",1,1,0,"Ref_1","ABC",32233.69,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Tayassu pecari"
